sigla,cidade,pontuacao
SSHZ,HORIZONTINA,0.15000000000000002
SSLS,LARANJEIRAS DO SUL,0.15000000000000002
SSLT,ALEGRETE,0.15000000000000002
SSNC,APORÉ,0.15000000000000002
SSND,SÃO FÉLIX DO ARAGUAIA,0.15000000000000002
SSNH,NOVO HAMBURGO,0.15000000000000002
SSNM,GUARANTÃ DO NORTE,0.15000000000000002
SSPK,PORECATU,0.15000000000000002
SSTD,TOLEDO,0.15000000000000002
SSUW,GUARAPUAVA,0.15000000000000002
SSVI,VIDEIRA,0.15000000000000002
SWBZ,SORRISO,0.15000000000000002
SWCI,ARIPUANÃ,0.15000000000000002
SWCP,CAMPO NOVO DO PARECIS,0.15000000000000002
SWCQ,COSTA MARQUES,0.15000000000000002
SWDM,DIAMANTINO,0.15000000000000002
SWEE,ATALAIA DO NORTE,0.15000000000000002
SWEK,CANARANA,0.15000000000000002
SWEU,CARACARAÍ,0.15000000000000002
SWFJ,FEIJÓ,0.15000000000000002
SWFN,MANAUS,0.15000000000000002
SWII,SANTO ANTÔNIO DO IÇÁ,0.15000000000000002
SWJH,JUARA,0.15000000000000002
SWJP,JAPURÁ,0.15000000000000002
SWJU,JURUENA,0.15000000000000002
SWJW,JATAÍ,0.15000000000000002
SWKK,CACOAL,0.15000000000000002
SWLV,SANTO ANTÔNIO DO LEVERGER,0.15000000000000002
SWMP,GUARANTÃ DO NORTE,0.15000000000000002
SWNA,NOVO ARIPUANÃ,0.15000000000000002
SWNH,ARUANÃ,0.15000000000000002
SWNO,NOVA OLINDA DO NORTE,0.15000000000000002
SWNQ,NIQUELÂNDIA,0.15000000000000002
SWOW,BARCELOS,0.15000000000000002
SWPD,BONFIM,0.15000000000000002
SWPF,PRESIDENTE FIGUEIREDO,0.15000000000000002
SWPJ,PALMAS,0.15000000000000002
SWPQ,PORTO ALEGRE DO NORTE,0.15000000000000002
SWSQ,SÃO GABRIEL DA CACHOEIRA,0.15000000000000002
SWTU,CAMPO NOVO DO PARECIS,0.15000000000000002
SWUA,SÃO MIGUEL DO ARAGUAIA,0.15000000000000002
SWVR,SINOP,0.15000000000000002
SWWD,BARCELOS,0.15000000000000002
SWWU,URUAÇU,0.15000000000000002
SWXM,MATUPÁ,0.15000000000000002
SWXV,NOVA XAVANTINA,0.15000000000000002
SWYK,POCONÉ,0.15000000000000002
SWYN,APUÍ,0.15000000000000002
SWZM,USINA SÃO SIMÃO,0.15000000000000002
1AON,OURILANDIA DO NORTE,0.15000000000000002
2NHT,UNA,0.15000000000000002
6ASO,SORRISO,0.15000000000000002
SBAF,RIO DE JANEIRO,0.15000000000000002
SBAM,AMAPÁ,0.15000000000000002
SBAS,ASSIS,0.15000000000000002
SBAV,TEODORO SAMPAIO,0.15000000000000002
